Provinsi / Kabupaten / Kota,,
,Indeks Pemberdayaan Gender (IDG),
KOTA MAGELANG,80.13,79.51
KOTA SURAKARTA,81.1,81.92
KOTA SALATIGA,79.29,79.48
KOTA SEMARANG,73.93,73.86
KOTA PEKALONGAN,61.37,65.31
KOTA TEGAL,64.8,65.31
DI YOGYAKARTA,76.87,78.46
KULON PROGO,72.27,71.68
BANTUL,65.03,70.35
GUNUNG KIDUL,77.93,77.3
SLEMAN,81.65,79.94
KOTA YOGYAKARTA,75.5,75.7
JAWA TIMUR,74.42,74.9
PACITAN,68.12,73.24
PONOROGO,67.69,68.52
TRENGGALEK,62.15,62.63
TULUNGAGUNG,69.66,72.92
BLITAR,81.92,81.32
KEDIRI,73.2,73.36
MALANG,76.38,76.45
LUMAJANG,59.61,59.88
JEMBER,68.69,66.97
BANYUWANGI,74.57,75.01
BONDOWOSO,67.87,64.8
SITUBONDO,74.77,73.16
PROBOLINGGO,68.36,69.25
PASURUAN,67.12,65.28
SIDOARJO,67.34,67.53
MOJOKERTO,80.59,81.25
JOMBANG,72.24,71.32
NGANJUK,70.87,72.46
MADIUN,70.23,71.72
MAGETAN,71.45,72.08
NGAWI,74.49,77
BOJONEGORO,56.8,56.82
TUBAN,65.03,65.05
LAMONGAN,75.49,73.15
GRESIK,70.13,70.47
BANGKALAN,61.86,62.34
SAMPANG,50.18,59.04
PAMEKASAN,55.54,55.85
SUMENEP,60.81,62.77
KOTA KEDIRI,85.03,86.29
KOTA BLITAR,68.61,67.63
KOTA MALANG,78.77,78.54
KOTA PROBOLINGGO,65.81,68.74
KOTA PASURUAN,54.8,56.11
KOTA MOJOKERTO,72.34,76.15
KOTA MADIUN,78.03,78.94
KOTA SURABAYA,83.2,85.29
KOTA BATU,67.83,68.65
BANTEN,68.55,69.87
PANDEGLANG,64.07,65.22
LEBAK,57.16,60.08
TANGERANG,63.35,63.84
SERANG,58.79,61.91
KOTA TANGERANG,64.09,63.02
KOTA CILEGON,51.3,52.16
KOTA SERANG,62.39,62.98
KOTA TANGERANG SELATAN,72.67,72.36
BALI,72.29,73.77
JEMBRANA,72.4,72.44
TABANAN,78.51,78.07
BADUNG,76.33,76.08
GIANYAR,68.58,68.82
KLUNGKUNG,75.75,76.07
BANGLI,65.69,65.57
KARANG ASEM,64.59,65.79
BULELENG,73.73,72.57
KOTA DENPASAR,67.21,69.22
NUSA TENGGARA BARAT,53.47,53.28
LOMBOK BARAT,59.68,62.03
LOMBOK TENGAH,61.76,60.45
LOMBOK TIMUR,67.44,66.81
SUMBAWA,69.58,69.54
DOMPU,64.58,63.95
BIMA,53.78,53.43
SUMBAWA BARAT,48.61,48.84
LOMBOK UTARA,43.45,48.52
KOTA MATARAM,76.26,75.25
KOTA BIMA,69.86,70.76
NUSA TENGGARA TIMUR,75.22,75.1
SUMBA BARAT,68.9,69.33
SUMBA TIMUR,65.02,65
KUPANG,64.44,65.55
TIMOR TENGAH SELATAN,60.59,59.72
TIMOR TENGAH UTARA,56.91,56.91
BELU,74.52,73.98
ALOR,61.96,61.5
LEMBATA,53.46,53.89
FLORES TIMUR,58.57,58.26
SIKKA,63.55,65.1
ENDE,66.02,64.99
NGADA,59.35,55.41
MANGGARAI,67.55,67.86
ROTE NDAO,49.01,0
MANGGARAI BARAT,59.06,57.28
SUMBA TENGAH,53.76,54.16
