Provinsi/Kabupaten/Kota,Unnamed: 1_x,Unnamed: 2_x,Unnamed: 1_y,Unnamed: 2_y,Unnamed: 3_x,Unnamed: 1,Unnamed: 2,Unnamed: 3_y
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,2016,2017.0,2018.0
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,2016,2017.0,2018.0
,2022,2023.0,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
Rokan Hilir,85.13,85.38,85.22,84.91,84.65,-,84.73,84.86
Kepulauan Meranti,86.97,87.35,86.2,86.3,86.45,-,85.3,85.9
Kota Pekanbaru,93.63,93.89,93.12,93.01,93.27,-,92.86,92.97
Kota Dumai,90.74,90.92,90.86,90.66,90.72,-,90.52,90.82
JAMBI,88.95,89.29,88.44,88.41,88.62,88.29,88.13,88.44
Kerinci,87.03,87.15,86.68,86.65,86.81,-,85.97,86.32
Merangin,88.35,88.82,88.01,88.14,88.24,-,87.64,88.01
Sarolangun,91.65,91.38,90.67,90.55,90.81,-,90.44,90.29
Batang Hari,85.44,85.57,85.17,85.01,85.23,-,84.18,84.49
Muaro Jambi,81.55,82.12,80.29,80.08,81.06,-,79.41,80.21
Tanjung Jabung Timur,87.68,87.9,87.76,87.5,87.43,-,86.56,87.3
Tanjung Jabung Barat,86.17,86.51,85.68,85.66,85.79,-,85.44,85.87
Tebo,90.92,91.63,90.23,90.06,90.4,-,90.06,90.22
Bungo,88.61,88.83,88.63,88.54,88.49,-,88.15,88.2
Kota Jambi,94.8,95.01,94.14,94.03,94.42,-,94.45,94.46
Kota Sungai Penuh,94.49,94.54,94.44,94.31,94.41,-,93.98,94.43
SUMATERA SELATAN,92.95,93.25,92.4,92.38,92.35,92.08,92.43,92.62
Ogan Komering Ulu,94.15,94.34,93.92,94.0,93.94,-,93.46,94.01
Ogan Komering Ilir,92.26,92.35,91.22,91.3,91.69,-,91.08,91.35
Muara Enim,89.87,89.82,89.69,89.64,89.67,-,89.32,89.76
Lahat,94.71,94.76,94.82,94.6,94.74,-,94.8,95.08
Musi Rawas,86.15,86.55,85.59,85.45,85.85,-,85.12,85.17
Musi Banyuasin,83.23,83.48,82.85,82.9,82.63,-,81.97,82.68
Banyu Asin,89.32,89.54,89.16,88.93,88.96,-,88.97,89.25
Ogan Komering Ulu Selatan,92.4,92.46,92.78,92.62,92.39,-,92.12,92.8
Ogan Komering Ulu Timur,94.36,94.59,94.07,94.0,93.82,-,93.84,94.14
Ogan Ilir,98.92,98.93,98.95,99.13,99.09,-,98.15,98.45
Empat Lawang,93.47,93.69,93.16,93.38,93.32,-,92.95,93.24
Penukal Abab Lematang Ilir,93.66,93.71,93.2,93.17,93.13,-,92.19,92.79
Musi Rawas Utara,93.02,92.96,93.1,92.82,92.6,-,92.86,93.18
Kota Palembang,96.24,96.52,95.9,95.97,96.07,-,95.56,96.01
Kota Prabumulih,93.99,93.72,93.26,93.7,93.68,-,92.72,93.32
Kota Pagar Alam,94.92,95.01,94.33,94.46,94.64,-,93.82,94.44
Kota Lubuklinggau,96.01,95.47,95.94,95.83,95.84,-,95.74,95.83
BENGKULU,91.36,91.57,91.19,91.0,91.16,91.06,91.34,91.37
Bengkulu Selatan,94.72,94.74,94.05,94.14,94.31,-,93.74,94.08
Rejang Lebong,93.83,94.24,94.15,93.78,93.72,-,94.15,94.59
Bengkulu Utara,91.39,91.47,91.25,91.23,91.39,-,91.0,91.19
Kaur,87.51,87.72,87.13,87.12,87.17,-,86.91,87.2
Seluma,86.16,86.3,85.32,85.65,85.93,-,85.2,85.28
Mukomuko,84.22,84.87,83.95,83.88,84.03,-,83.98,84.18
Lebong,92.19,92.06,91.49,91.6,91.86,-,90.64,90.99
Kepahiang,96.11,96.01,95.32,95.8,95.73,-,94.69,95.2
Bengkulu Tengah,87.29,87.25,86.55,86.83,87.04,-,85.77,86.36
Kota Bengkulu,96.07,96.12,95.97,95.67,95.77,-,96.36,96.55
LAMPUNG,90.58,90.75,90.39,90.33,90.37,90.3,90.49,90.57
Lampung Barat,93.4,93.47,92.55,92.95,93.0,-,92.47,92.74
Tanggamus,91.1,91.27,90.88,91.13,90.98,-,90.71,91.14
Lampung Selatan,89.78,89.96,89.54,89.6,89.61,-,89.52,89.87
Lampung Timur,89.22,89.6,88.78,88.83,88.78,-,87.85,88.67
Lampung Tengah,90.11,90.02,89.88,89.87,89.94,-,89.23,89.57
Lampung Utara,89.74,89.79,89.48,89.46,89.58,-,88.69,89.34
Way Kanan,88.5,88.64,88.22,88.19,88.32,-,87.85,88.25
Tulangbawang,90.18,90.26,89.17,89.31,89.56,-,88.51,88.69
Pesawaran,87.77,88.04,87.3,87.2,87.22,-,87.25,87.57
Pringsewu,92.5,92.68,92.37,92.33,92.29,-,92.26,92.59
Mesuji,84.47,84.63,84.22,84.17,84.37,-,83.82,84.49
Tulang Bawang Barat,89.04,89.01,88.45,88.56,88.96,-,88.08,88.53
Pesisir Barat,93.95,94.25,93.22,93.21,93.51,-,92.84,93.4
Kota Bandar Lampung,94.02,94.14,93.96,93.86,93.93,-,93.53,93.55
Kota Metro,95.9,95.99,95.02,95.55,95.89,-,94.97,94.98
KEP. BANGKA BELITUNG,89.55,89.84,89,88.92,89.11,88.9,88.93,89.15
Bangka,88.84,89.24,88.49,88.48,88.36,-,88.14,88.24
Belitung,88.84,89.21,88.61,88.28,88.29,-,87.99,88.62
Bangka Barat,90.29,90.36,90.07,90.03,90.04,-,89.41,89.92
Bangka Tengah,91.77,91.91,91.05,91.49,91.34,-,90.83,91.04
Bangka Selatan,84.94,84.81,83.86,83.81,84.31,-,83.48,83.54
Belitung Timur,86.95,87.3,86.17,86.37,86.56,-,86.04,86.08
Kota Pangkal Pinang,93.35,93.16,92.89,93.16,93.25,-,92.8,92.94
KEPULAUAN RIAU,93.5,93.96,93.1,93.31,93.49,93.13,92.96,92.97
Karimun,91.12,91.33,90.91,91.25,91.0,-,91.35,91.48
Bintan,93.78,93.93,93.1,93.12,93.53,-,92.58,92.79
Natuna,91.86,92.07,91.72,91.67,91.95,-,91.31,91.62
Lingga,90.48,90.75,89.26,89.25,89.73,-,89.73,89.29
Kepulauan Anambas,91.14,91.25,90.16,90.27,90.3,-,89.97,90.12
Kota Batam,94.75,94.95,94.42,94.43,94.51,-,94.21,94.22
Kota Tanjung Pinang,97.14,96.96,96.77,96.79,97.14,-,96.46,96.47
DKI JAKARTA,94.93,95.24,94.71,94.63,94.84,94.98,94.7,94.7
Kep. Seribu,93.69,93.6,93.58,93.39,93.39,-,93.24,93.57
Kota Jakarta Selatan,96.48,97.16,96.29,96.14,96.28,-,95.71,96.07
Kota Jakarta Timur,95.92,95.98,95.5,95.48,95.44,-,94.59,94.79
Kota Jakarta Pusat,96.41,96.28,95.68,96.0,96.11,-,95.52,95.62
Kota Jakarta Barat,95.39,95.39,95.23,95.16,95.37,-,95.38,95.22
Kota Jakarta Utara,93.84,94.03,93.64,93.53,93.6,-,93.38,93.51
JAWA BARAT,89.8,90.23,89.26,89.2,89.36,89.56,89.18,89.19
Bogor,89.95,90.2,89.39,89.23,89.4,-,88.69,89.05
Sukabumi,87.64,88.3,87.43,87.37,87.44,-,86.9,86.95
Cianjur,84.9,85.17,84.36,84.14,84.3,-,83.56,83.72
Bandung,93.97,94.03,93.96,93.95,93.85,-,93.43,93.59
Garut,82.78,83.37,82.54,82.29,82.13,-,81.96,82.42
Tasikmalaya,86.64,87.01,86.05,86.02,86.36,-,85.63,85.98
Ciamis,87.04,87.25,86.49,86.61,86.55,-,85.6,86.0
Kuningan,87.17,87.31,86.92,86.81,86.97,-,86.34,86.62
Cirebon,84.01,84.28,83.5,83.47,83.49,-,82.51,82.92
Majalengka,86.69,87.06,85.76,85.91,86.24,-,85.43,85.93
Sumedang,95.09,95.41,95.01,95.18,95.18,-,94.6,94.88
Indramayu,88.17,88.81,88.35,88.15,87.92,-,87.91,87.97
Subang,90.95,91.29,90.58,90.53,90.51,-,90.52,90.57
Purwakarta,86.94,87.08,86.78,86.56,86.7,-,87.18,87.19
Karawang,90.5,91.07,90.33,90.12,90.29,-,90.42,90.45
Bekasi,89.37,89.53,88.68,88.58,88.88,-,88.0,88.28
Bandung Barat,79.69,80.37,79.29,79.06,79.07,-,79.11,79.18
Pangandaran,90.2,90.04,90.02,89.78,89.92,-,89.3,89.68
