Provinsi/Kabupaten/Kota,,,
,Indeks Ketimpangan Gerder (IKG),,
JAWA TIMUR,0.46,0.44,0.423
Pacitan,0.47,0.451,0.444
Ponorogo,0.358,0.394,0.358
Trenggalek,0.455,0.497,0.425
Tulungagung,0.361,0.375,0.244
Blitar,0.287,0.355,0.26
Kediri,0.349,0.378,0.372
Malang,0.422,0.402,0.436
Lumajang,0.482,0.472,0.322
Jember,0.487,0.488,0.406
Banyuwangi,0.326,0.236,0.23
Bondowoso,0.499,0.526,0.547
Situbondo,0.465,0.474,0.407
Probolinggo,0.527,0.485,0.479
Pasuruan,0.537,0.531,0.539
Sidoarjo,0.255,0.301,0.179
Mojokerto,0.402,0.349,0.343
Jombang,0.422,0.399,0.267
Nganjuk,0.402,0.382,0.427
Madiun,0.354,0.401,0.405
Magetan,0.39,0.192,0.173
Ngawi,0.381,0.15,0.171
Bojonegoro,0.443,0.439,0.423
Tuban,0.494,0.417,0.359
Lamongan,0.423,0.272,0.334
Gresik,0.404,0.407,0.409
Bangkalan,0.606,0.594,0.615
Sampang,0.618,0.595,0.582
Pamekasan,0.66,0.644,0.601
Sumenep,0.596,0.57,0.593
Kota Kediri,0.117,0.109,0.093
Kota Blitar,0.199,0.194,0.188
Kota Malang,0.136,0.35,0.131
Kota Probolinggo,0.269,0.236,0.392
Kota Pasuruan,0.378,0.418,0.31
Kota Mojokerto,0.17,0.156,0.119
Kota Madiun,0.094,0.093,0.079
Kota Surabaya,0.206,0.23,0.128
Kota Batu,0.267,0.31,0.378
BANTEN,0.475,0.478,0.464
Pandeglang,0.583,0.573,0.561
Lebak,0.626,0.616,0.6
Tangerang,0.457,0.433,0.402
Serang,0.554,0.56,0.544
Kota Tangerang,0.311,0.324,0.284
Kota Cilegon,0.354,0.443,0.26
Kota Serang,0.521,0.544,0.53
Kota Tangerang Selatan,0.155,0.17,0.2
BALI,0.265,0.321,0.239
Jembrana,0.32,0.206,0.211
Tabanan,0.148,0.18,0.17
Badung,0.13,0.118,0.126
Gianyar,0.204,0.193,0.193
Klungkung,0.193,0.198,0.186
Bangli,0.261,0.257,0.249
Karangasem,0.297,0.358,0.284
Buleleng,0.421,0.462,0.389
Kota Denpasar,0.212,0.303,0.288
NUSA TENGGARA BARAT,0.653,0.648,0.65
Lombok Barat,0.574,0.549,0.565
Lombok Tengah,0.597,0.601,0.603
Lombok Timur,0.584,0.568,0.576
Sumbawa,0.315,0.432,0.35
Dompu,0.551,0.537,0.534
Bima,0.587,0.589,0.56
Sumbawa Barat,0.561,0.545,0.526
Lombok Utara,0.567,0.56,0.581
Kota Mataram,0.423,0.476,0.465
Kota Bima,0.495,0.48,0.482
NUSA TENGGARA TIMUR,0.437,0.436,0.428
Sumba Barat,0.441,0.417,0.346
Sumba Timur,0.433,0.464,0.447
Kupang,0.515,0.482,0.464
Timor Tengah Selatan,0.5,0.475,0.475
Timor Tengah Utara,0.506,0.544,0.519
Belu,0.362,0.399,0.29
Alor,0.531,0.551,0.543
Lembata,0.723,0.74,0.778
Flores Timur,0.532,0.395,0.448
Sikka,0.328,0.357,0.298
Ende,0.363,0.373,0.252
Ngada,0.263,0.297,0.673
Manggarai,0.454,0.454,0.462
Rote Ndao,0.813,0.815,0.808
Manggarai Barat,0.481,0.499,0.523
Sumba Tengah,0.751,0.758,0.775
Sumba Barat Daya,0.467,0.487,0.493
Nagekeo,0.736,0.698,0.66
Manggarai Timur,0.61,0.611,0.596
Sabu Raijua,0.524,0.534,0.497
Malaka,0.382,0.506,0.454
Kota Kupang,0.421,0.335,0.388
KALIMANTAN BARAT,0.547,0.522,0.519
Sambas,0.474,0.413,0.487
Bengkayang,0.459,0.445,0.432
Landak,0.54,0.521,0.524
Mempawah,0.546,0.567,0.555
Sanggau,0.554,0.563,0.541
Ketapang,0.605,0.642,0.602
Sintang,0.587,0.585,0.591
Kapuas Hulu,0.619,0.574,0.498
Sekadau,0.676,0.659,0.661
Melawi,0.594,0.563,0.561
Kayong Utara,0.859,0.855,0.841
Kubu Raya,0.541,0.515,0.524
Kota Pontianak,0.425,0.339,0.286
Kota Singkawang,0.354,0.321,0.372
KALIMANTAN TENGAH,0.537,0.526,0.541
Kotawaringin Barat,0.518,0.527,0.524
Kotawaringin Timur,0.555,0.507,0.538
Kapuas,0.585,0.576,0.564
Barito Selatan,0.55,0.558,0.529
Barito Utara,0.558,0.522,0.533
Sukamara,0.518,0.544,0.499
Lamandau,0.564,0.532,0.564
Seruyan,0.601,0.575,0.616
Katingan,0.6,0.57,0.593
Pulang Pisau,0.532,0.544,0.501
Gunung Mas,0.553,0.549,0.572
Barito Timur,0.508,0.489,0.482
Murung Raya,0.628,0.618,0.598
Kota Palangka Raya,0.437,0.429,0.415
KALIMANTAN SELATAN,0.525,0.514,0.507
Tanah Laut,0.483,0.481,0.421
Kotabaru,0.588,0.597,0.571
Banjar,0.504,0.498,0.53
Barito Kuala,0.483,0.509,0.516
Tapin,0.586,0.581,0.563
Hulu Sungai Selatan,0.567,0.497,0.531
Hulu Sungai Tengah,0.436,0.482,0.36
Hulu Sungai Utara,0.494,0.445,0.458
Tabalong,0.529,0.504,0.503
Tanah Bumbu,0.573,0.57,0.557
Balangan,0.579,0.555,0.574
Kota Banjarmasin,0.459,0.422,0.4
Kota Banjar Baru,0.436,0.405,0.361
KALIMANTAN TIMUR,0.436,0.443,0.414
Paser,0.511,0.528,0.489
Kutai Barat,0.501,0.49,0.491
Kutai Kartanegara,0.511,0.54,0.49
Kutai Timur,0.518,0.552,0.532
Berau,0.467,0.38,0.502
Penajam Paser Utara,0.572,0.527,0.544
Mahakam Ulu,0.449,0.421,0.362
Kota Balikpapan,0.246,0.344,0.178
Kota Samarinda,0.222,0.197,0.237
Kota Bontang,0.348,0.253,0.314
KALIMANTAN UTARA,0.472,0.444,0.452
Malinau,0.515,0.511,0.491
Bulungan,0.439,0.453,0.388
Tana Tidung,0.472,0.496,0.48
Nunukan,0.429,0.37,0.37
Kota Tarakan,0.41,0.244,0.367
SULAWESI UTARA,0.439,0.444,0.422
Bolaang Mongondow,0.496,0.538,0.528
Minahasa,0.326,0.368,0.359
Kepulauan Sangihe,0.495,0.508,0.477
Kepulauan Talaud,0.454,0.499,0.494
Minahasa Selatan,0.419,0.447,0.445
Minahasa Utara,0.543,0.504,0.485
Bolaang Mongondow Utara,0.412,0.511,0.395
Siau Tagulandang Biaro,0.369,0.445,0.403
Minahasa Tenggara,0.466,0.501,0.207
Bolaang Mongondow Selatan,0.54,0.521,0.512
Bolaang Mongondow Timur,0.549,0.498,0.499
Kota Manado,0.36,0.208,0.167
Kota Bitung,0.479,0.369,0.451
Kota Tomohon,0.172,0.215,0.155
Kota Kotamobagu,0.358,0.237,0.329
SULAWESI TENGAH,0.497,0.477,0.469
Banggai Kepulauan,0.558,0.56,0.539
Banggai,0.501,0.463,0.479
Morowali,0.601,0.581,0.57
Poso,0.383,0.445,0.386
Donggala,0.576,0.559,0.6
Toli-Toli,0.537,0.458,0.371
Buol,0.446,0.454,0.438
Parigi Moutong,0.547,0.538,0.528
Tojo Una-Una,0.598,0.603,0.565
Sigi,0.502,0.47,0.517
Banggai Laut,0.583,0.573,0.575
Morowali Utara,0.491,0.458,0.472
Kota Palu,0.466,0.349,0.209
SULAWESI SELATAN,0.41,0.39,0.366
Kepulauan Selayar,0.4,0.379,0.377
Bulukumba,0.432,0.368,0.258
Bantaeng,0.465,0.392,0.348
Jeneponto,0.288,0.426,0.41
Takalar,0.276,0.396,0.192
Gowa,0.332,0.285,0.359
Sinjai,0.393,0.417,0.379
Maros,0.457,0.396,0.353
Pangkajene dan Kepulauan,0.513,0.456,0.44
Barru,0.349,0.4,0.224
Bone,0.511,0.483,0.496
Soppeng,0.421,0.26,0.267
Wajo,0.391,0.428,0.475
Sidenreng Rappang,0.564,0.543,0.452
Pinrang,0.474,0.501,0.25
Enrekang,0.471,0.445,0.276
Luwu,0.545,0.54,0.535
Tana Toraja,0.476,0.504,0.501
Luwu Utara,0.606,0.582,0.512
Luwu Timur,0.44,0.447,0.431
Toraja Utara,0.482,0.473,0.454
Kota Makasar,0.198,0.188,0.186
Kota Parepare,0.184,0.21,0.207
Kota Palopo,0.286,0.289,0.273
SULAWESI TENGGARA,0.554,0.49,0.491
Buton,0.571,0.541,0.528
Muna,0.571,0.517,0.529
Konawe,0.547,0.514,0.527
Kolaka,0.581,0.471,0.464
Konawe Selatan,0.581,0.425,0.41
Bombana,0.57,0.511,0.486
Wakatobi,0.505,0.5,0.429
Kolaka Utara,0.476,0.45,0.439
Buton Utara,0.491,0.506,0.482
Konawe Utara,0.569,0.542,0.558
Kolaka Timur,0.453,0.5,0.489
Konawe Kepulauan,0.57,0.586,0.562
Muna Barat,0.523,0.536,0.479
Buton Tengah,0.575,0.497,0.489
Buton Selatan,0.543,0.521,0.522
Kota Kendari,0.511,0.368,0.409
Kota Baubau,0.499,0.405,0.394
GORONTALO,0.443,0.411,0.391
Boalemo,0.48,0.384,0.43
Gorontalo,0.449,0.437,0.35
Pohuwato,0.545,0.452,0.502
Bone Bolango,0.446,0.523,0.516
Gorontalo Utara,0.481,0.226,0.327
Kota Gorontalo,0.37,0.407,0.363
SULAWESI BARAT,0.543,0.51,0.494
Majene,0.441,0.452,0.415
Polewali Mandar,0.493,0.484,0.43
Mamasa,0.527,0.506,0.488
Mamuju,0.596,0.524,0.546
Mamuju Utara / Pasangkayu,0.482,0.504,0.474
Mamuju Tengah,0.475,0.499,0.491
MALUKU,0.521,0.527,0.509
Maluku Tenggara Barat / Kepulauan Tanimbar,0.522,0.507,0.495
Maluku Tenggara,0.488,0.549,0.539
Maluku Tengah,0.576,0.582,0.561
Buru,0.575,0.595,0.559
Kepulauan Aru,0.592,0.616,0.614
Seram Bagian Barat,0.632,0.622,0.61
Seram Bagian Timur,0.644,0.652,0.642
Maluku Barat Daya,0.566,0.571,0.573
Buru Selatan,0.602,0.601,0.598
Kota Ambon,0.482,0.496,0.485
Kota Tual,0.553,0.561,0.562
MALUKU UTARA,0.541,0.534,0.519
Halmahera Barat,0.534,0.556,0.532
Halmahera Tengah,0.606,0.581,0.606
Kepulauan Sula,0.849,0.864,0.857
Halmahera Selatan,0.64,0.634,0.615
Halmahera Utara,0.572,0.584,0.56
Halmahera Timur,0.652,0.625,0.597
Pulau Morotai,0.588,0.569,0.556
Pulau Taliabu,0.608,0.613,0.617
Kota Ternate,0.41,0.375,0.406
Kota Tidore Kepulauan,0.465,0.48,0.471
PAPUA BARAT,0.527,0.537,0.537
Fakfak,0.492,0.533,0.524
Kaimana,0.471,0.532,0.511
Teluk Wondama,0.593,0.592,0.587
Teluk Bintuni,0.515,0.571,0.564
Manokwari,0.478,0.48,0.485
Sorong Selatan,0.569,0.581,0.576
Sorong,0.549,0.549,0.565
Raja Ampat,0.616,0.619,0.622
Tambrauw,0.851,0.834,0.842
Maybrat,0.828,0.799,0.803
Manokwari Selatan,0.5,0.494,0.48
Pegunungan Arfak,0.689,0.645,0.651
Kota Sorong,0.445,0.454,0.452
PAPUA,0.535,0.515,0.518
Merauke,0.565,0.533,0.496
Jayawijaya,0.537,0.503,0.509
Jayapura,0.491,0.488,0.478
Nabire,0.5,0.508,0.496
Kepulauan Yapen,0.549,0.553,0.58
Biak Numfor,0.482,0.458,0.392
Paniai,0.646,0.624,0.674
Puncak Jaya,0.573,0.505,0.52
Mimika,0.581,0.556,0.513
Boven Digoel,0.595,0.572,0.529
Mappi,0.64,0.633,0.638
Asmat,0.52,0.466,0.479
Yahukimo,0.667,0.687,0.665
Pegunungan Bintang,0.666,0.681,0.676
Tolikara,0.576,0.616,0.586
Sarmi,0.454,0.457,0.439
Keerom,0.53,0.571,0.534
Waropen,0.641,0.684,0.634
Supiori,0.559,0.573,0.53
Mamberamo Raya,0.627,0.58,0.578
Nduga,0.853,0.606,0.622
Lanny Jaya,0.84,0.641,0.837
Mamberamo Tengah,0.546,0.518,0.512
Yalimo,0.827,0.827,0.824
Puncak,0.614,0.372,0.694
Dogiyai,0.869,0.709,0.693
Intan Jaya,0.886,0.871,0.887
Deiyai,0.864,0.872,0.879
Kota Jayapura,0.413,0.374,0.29
INDONESIA,0.465,0.459,0.447
