Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
Timor Tengah Utara,-,95.87,95.44
Belu,-,97.07,96.81
Alor,-,92.67,92.34
Lembata,-,92.04,91.44
Flores Timur,-,90.49,91.28
Sikka,-,88.64,88.96
Ende,-,95.52,95.23
Ngada,-,96.06,95.76
Manggarai,-,87.38,87.7
Rote Ndao,-,83.86,84.59
Manggarai Barat,-,87.38,87.43
Sumba Tengah,-,90.25,90.78
Sumba Barat Daya,-,98.2,97.43
Nagekeo,-,98.93,99.15
Manggarai Timur,-,90.76,90.8
Sabu Raijua,-,92.18,92.54
Malaka,-,89.9,89.17
Kota Kupang,-,95.23,95.5
KALIMANTAN BARAT,85.77,86.28,86.74
Sambas,-,87.06,86.96
Bengkayang,-,82.81,82.81
Landak,-,87.87,87.9
Mempawah,-,86.98,87.76
Sanggau,-,80.38,80.59
Ketapang,-,87.84,88.41
Sintang,-,85.97,86.29
Kapuas Hulu,-,84.45,84.38
Sekadau,-,81.82,82.07
Melawi,-,79.79,79.75
Kayong Utara,-,85.14,85.19
Kubu Raya,-,84.05,84.57
Kota Pontianak,-,93.6,93.32
Kota Singkawang,-,91.98,91.91
KALIMANTAN TENGAH,89.07,88.91,89.13
Kotawaringin Barat,-,91.76,91.76
Kotawaringin Timur,-,87.73,87.74
Kapuas,-,96.59,96.26
Barito Selatan,-,93.02,92.35
Barito Utara,-,85.16,85.89
Sukamara,-,91.24,91.45
Lamandau,-,91.97,91.88
Seruyan,-,88.64,89.46
Katingan,-,85.51,85.7
Pulang Pisau,-,91.7,91.72
Gunung Mas,-,91.74,91.89
Barito Timur,-,88.36,88.41
Murung Raya,-,82.92,83.23
Kota Palangka Raya,-,94.42,94.66
KALIMANTAN SELATAN,88.86,88.6,88.61
Tanah Laut,-,87.53,87.14
Kotabaru,-,83.5,83.8
Banjar,-,91.85,91.39
Barito Kuala,-,88.63,88.91
Tapin,-,83.87,84.56
Hulu Sungai Selatan,-,89.07,89.1
Hulu Sungai Tengah,-,96.89,96.52
Hulu Sungai Utara,-,92.36,92.09
Tabalong,-,85.15,84.99
Tanah Bumbu,-,84.42,84.33
Balangan,-,92.31,92.32
Kota Banjarmasin,-,93.28,93.28
Kota Banjar Baru,-,92.17,92.42
KALIMANTAN TIMUR,85.6,85.62,85.63
Paser,-,69.78,70.64
Kutai Barat,-,83.3,83.52
Kutai Kartanegara,-,78.54,78.83
Kutai Timur,-,75.48,76.03
Berau,-,87.77,87.92
Penajam Paser Utara,-,86.31,86.34
Mahakam Ulu,-,79.82,80.18
Kota Balikpapan,-,89.74,89.76
Kota Samarinda,-,89.26,89.42
Kota Bontang,-,86.44,86.61
KALIMANTAN UTARA,86.34,85.96,86.74
Malinau,-,81.02,81.53
Bulungan,-,84.74,84.98
Tana Tidung,-,77.37,77.82
Nunukan,-,82.15,82.41
Kota Tarakan,-,91.23,92.28
SULAWESI UTARA,95.04,94.78,94.79
Bolaang Mongondow,-,87.72,88.03
Minahasa,-,96.22,96.48
Kepulauan Sangihe,-,96.1,96.1
Kepulauan Talaud,-,97.18,97.64
Minahasa Selatan,-,88.53,89.31
Minahasa Utara,-,96.26,96.8
Bolaang Mongondow Utara,-,85.46,86.19
Siau Tagulandang Biaro,-,87.64,88.28
Minahasa Tenggara,-,91.81,92.21
Bolaang Mongondow Selatan,-,78.34,79.39
Bolaang Mongondow Timur,-,90.5,90.51
Kota Manado,-,95.96,96.07
Kota Bitung,-,94.87,95.01
Kota Tomohon,-,98.98,99.2
Kota Kotamobagu,-,94.78,95.13
SULAWESI TENGAH,91.91,91.66,92.08
Banggai Kepulauan,-,91.83,92.01
Banggai,-,90.64,91.48
Morowali,-,84.83,84.88
Poso,-,97.11,96.81
Donggala,-,87.66,87.75
Toli-Toli,-,89.7,89.62
Buol,-,89.12,89.27
Parigi Moutong,-,92.46,92.48
Tojo Una-Una,-,91.47,91.72
Sigi,-,92.98,92.99
Banggai Laut,-,91.56,91.6
Morowali Utara,-,96.58,96.41
Kota Palu,-,97.69,97.94
SULAWESI SELATAN,92.79,92.84,93.15
Kepulauan Selayar,-,90.97,91.96
Bulukumba,-,96.56,96.45
Bantaeng,-,95.28,95.3
Jeneponto,-,90.94,91.3
Takalar,-,86.76,87.24
Gowa,-,87.69,87.24
Sinjai,-,98.01,98.13
Maros,-,88.91,88.93
Pangkajene dan Kepulauan,-,89.26,89.8
Barru,-,95.51,95.44
Bone,-,92.65,92.95
Soppeng,-,97.43,97.25
Wajo,-,89.9,90.04
Sidenreng Rappang,-,92.21,91.9
Pinrang,-,95.44,95.45
Enrekang,-,98.12,97.99
Luwu,-,92.52,92.28
Tana Toraja,-,87.18,87.86
Luwu Utara,-,88.87,88.94
Luwu Timur,-,89.49,89.38
Toraja Utara,-,86.03,86.38
Kota Makasar,-,94.7,94.53
Kota Parepare,-,97.47,96.87
Kota Palopo,-,97.57,97.75
SULAWESI TENGGARA,90.23,90.24,90.24
Buton,-,78.39,79.01
Muna,-,87.34,87.08
Konawe,-,93.12,92.91
Kolaka,-,89.77,89.59
Konawe Selatan,-,87.26,87.3
Bombana,-,83.71,84.02
Wakatobi,-,88.23,88.39
Kolaka Utara,-,97.55,97.84
Buton Utara,-,91.94,91.83
Konawe Utara,-,85.44,85.58
Kolaka Timur,-,98.15,98.16
Konawe Kepulauan,-,83.71,83.76
Muna Barat,-,88.13,88.05
Buton Tengah,-,78.57,79.29
Buton Selatan,-,72.21,72.49
Kota Kendari,-,94.57,94.66
Kota Baubau,-,90.64,90.65
GORONTALO,86.12,86.64,86.63
Boalemo,-,80.36,80.82
Gorontalo,-,80.98,81.18
Pohuwato,-,91.31,91.11
Bone Bolango,-,86.71,86.96
Gorontalo Utara,-,80.44,81.16
Kota Gorontalo,-,86.09,86.06
SULAWESI BARAT,89.35,89.44,90.05
Majene,-,94.67,94.4
Polewali Mandar,-,91.22,91.87
Mamasa,-,97.92,97.78
Mamuju,-,90.37,90.37
Mamuju Utara / Pasangkayu,-,83.88,84.35
Mamuju Tengah,-,87.26,87.12
MALUKU,92.38,92.75,93.03
Maluku Tenggara Barat / Kepulauan Tanimbar,-,85.8,86.26
Maluku Tenggara,-,96.47,96.39
Maluku Tengah,-,98.3,98.31
Buru,-,89.63,89.68
Kepulauan Aru,-,88.7,88.41
Seram Bagian Barat,-,98.35,98.68
Seram Bagian Timur,-,86.58,86.81
Maluku Barat Daya,-,89.5,89.56
Buru Selatan,-,85.42,86.08
Kota Ambon,-,97.88,97.84
Kota Tual,-,87.16,87.63
MALUKU UTARA,89.15,89.15,89.5
Halmahera Barat,-,88.2,87.79
Halmahera Tengah,-,89.52,89.34
Kepulauan Sula,-,92.13,92.14
Halmahera Selatan,-,85.83,86.41
Halmahera Utara,-,89.14,88.81
Halmahera Timur,-,81.29,81.3
Pulau Morotai,-,68.57,69.4
Pulau Taliabu,-,81.87,82.82
Kota Ternate,-,91.89,91.92
Kota Tidore Kepulauan,-,95.33,95.12
PAPUA BARAT,82.34,82.42,82.47
Fakfak,-,83.23,83.34
Kaimana,-,81.85,81.98
Teluk Wondama,-,78.85,78.91
Teluk Bintuni,-,85.65,85.71
Manokwari,-,82.62,83.11
Sorong Selatan,-,81.54,81.43
Sorong,-,85.33,85.58
Raja Ampat,-,76.67,77
Tambrauw,-,66.5,67.31
Maybrat,-,76.1,76.55
Manokwari Selatan,-,62.66,63.45
