Provinsi / Kabupaten / Kota,,,
,Indeks Pemberdayaan Gender (IDG),,
KOTA PALANGKA RAYA,78.95,79.12,78.72
KALIMANTAN SELATAN,74.6,74.48,74.58
TANAH LAUT,70.67,72.8,72.86
KOTA BARU,71.21,72.21,72.6
BANJAR,80.73,80.52,80.24
BARITO KUALA,78.35,78.03,78.17
TAPIN,65.16,64.97,73.19
HULU SUNGAI SELATAN,54.5,53.82,53.55
HULU SUNGAI TENGAH,77.69,77.53,77.48
HULU SUNGAI UTARA,70.36,70.65,70.07
TABALONG,72.3,73.39,74.65
TANAH BUMBU,67.05,67.23,66.87
BALANGAN,69.55,70.14,70.57
KOTA BANJARMASIN,79.56,79.6,79.45
KOTA BANJAR BARU,66.63,66.77,69.7
KALIMANTAN TIMUR,65.65,65.54,66.64
PASIR,66.2,65.66,65.67
KUTAI BARAT,61.14,60.6,65.34
KUTAI KARTANEGARA,63.74,61.43,62.76
KUTAI TIMUR,56.35,53.77,53.78
BERAU,57.66,57.91,56.48
MALINAU,-,68.85,70.11
BULUNGAN,-,65.14,64.45
NUNUKAN,-,77.16,77.67
PENAJAM PASER UTARA,50.36,49.75,49.85
TANA TIDUNG,-,59.74,60.52
MAHAKAM ULU,80.61,80.41,80.43
KOTA BALIKPAPAN,69.11,68.97,68.62
KOTA SAMARINDA,66.29,70.65,67.54
KOTA TARAKAN,-,59.72,58.92
KOTA BONTANG,51.99,51.97,45.67
KALIMANTAN UTARA,61.48,64.31,61.7
MALINAU,65.84,68.85,70.11
BULONGAN,62.05,65.14,64.45
TANA TIDUNG,52.64,59.74,60.52
NUNUKAN,77.78,77.16,77.67
KOTA TARAKAN,59.34,59.72,58.92
SULAWESI UTARA,79.1,78.98,79.07
BOLAANG MONGONDOW,78.05,77.77,77.36
MINAHASA,87.63,87.05,87.29
KEPULAUAN SANGIHE,61.38,59.91,61.32
KEPULAUAN TALAUD,68.59,68.44,68.46
MINAHASA SELATAN,76.2,78.34,77.59
MINAHASA UTARA,67.4,64.6,63.95
BOLAANG MONGONDOW UTARA,61.99,63.79,60.61
SIAU TAGULANDANG BIARO,74.53,74.89,74.47
MINAHASA TENGGARA,78.46,79.92,80.11
BOLAANG MONGONDOW SELATAN,72.22,68.16,71.51
BOLAANG MONGONDOW TIMUR,73.06,72.48,70.59
KOTA MANADO,83.96,84.67,84.29
KOTA BITUNG,65.15,68.84,68.84
KOTA TOMOHON,81.86,82.91,83.7
KOTA KOTAMOBAGU,66.93,66.42,66.79
SULAWESI TENGAH,74.49,75.78,75.8
BANGGAI KEPULAUAN,72.09,71.79,71.86
BANGGAI,73.88,74.09,73.06
MOROWALI,51.09,51.56,51.08
POSO,70.77,70.92,70.94
DONGGALA,64.03,64.34,64.04
TOLI-TOLI,68.62,67.62,65.32
