Provinsi/Kabupaten/Kota,,,
,Indeks Ketimpangan Gerder (IKG),,
Magelang,0.421,0.413,0.408
Boyolali,0.436,0.312,0.323
Klaten,0.397,0.294,0.415
Sukoharjo,0.123,0.201,0.203
Wonogiri,0.422,0.403,0.448
Karanganyar,0.293,0.17,0.318
Sragen,0.449,0.455,0.452
Grobogan,0.296,0.371,0.284
Blora,0.438,0.261,0.371
Rembang,0.325,0.427,0.421
Pati,0.374,0.374,0.402
Kudus,0.313,0.239,0.295
Jepara,0.48,0.449,0.291
Demak,0.359,0.414,0.243
Semarang,0.464,0.381,0.405
Temanggung,0.4,0.374,0.336
Kendal,0.328,0.188,0.291
Batang,0.436,0.401,0.484
Pekalongan,0.352,0.193,0.245
Pemalang,0.46,0.387,0.37
Tegal,0.425,0.4,0.371
Brebes,0.401,0.455,0.358
Kota Magelang,0.132,0.173,0.236
Kota Surakarta,0.122,0.166,0.137
Kota Salatiga,0.123,0.156,0.166
Kota Semarang,0.245,0.173,0.157
Kota Pekalongan,0.147,0.26,0.367
Kota Tegal,0.247,0.206,0.199
D I YOGYAKARTA,0.22,0.243,0.149
Kulon Progo,0.304,0.255,0.129
Bantul,0.231,0.318,0.194
Gunung Kidul,0.314,0.2,0.22
Sleman,0.116,0.151,0.111
Kota Yogyakarta,0.099,0.162,0.166
JAWA TIMUR,0.483,0.476,0.449
Pacitan,0.434,0.492,0.517
Ponorogo,0.316,0.377,0.348
Trenggalek,0.469,0.461,0.422
Tulungagung,0.223,0.376,0.208
Blitar,0.406,0.382,0.348
Kediri,0.355,0.311,0.363
Malang,0.436,0.478,0.475
Lumajang,0.542,0.503,0.436
Jember,0.492,0.454,0.503
Banyuwangi,0.408,0.423,0.352
Bondowoso,0.612,0.591,0.538
Situbondo,0.48,0.497,0.424
Probolinggo,0.572,0.568,0.532
Pasuruan,0.515,0.536,0.53
Sidoarjo,0.348,0.398,0.303
Mojokerto,0.441,0.443,0.346
Jombang,0.378,0.439,0.345
Nganjuk,0.442,0.421,0.357
Madiun,0.44,0.324,0.369
Magetan,0.404,0.389,0.351
Ngawi,0.318,0.454,0.422
Bojonegoro,0.541,0.491,0.424
Tuban,0.508,0.511,0.501
Lamongan,0.451,0.473,0.442
Gresik,0.419,0.421,0.418
Bangkalan,0.846,0.636,0.591
Sampang,0.681,0.617,0.612
Pamekasan,0.622,0.64,0.627
Sumenep,0.677,0.628,0.598
Kota Kediri,0.232,0.244,0.174
Kota Blitar,0.25,0.317,0.334
Kota Malang,0.203,0.347,0.155
Kota Probolinggo,0.262,0.261,0.265
Kota Pasuruan,0.459,0.306,0.308
Kota Mojokerto,0.108,0.19,0.14
Kota Madiun,0.057,0.274,0.273
Kota Surabaya,0.309,0.279,0.16
Kota Batu,0.329,0.411,0.402
BANTEN,0.491,0.503,0.484
Pandeglang,0.624,0.605,0.58
Lebak,0.617,0.635,0.605
Tangerang,0.477,0.499,0.486
Serang,0.553,0.572,0.563
Kota Tangerang,0.266,0.342,0.279
Kota Cilegon,0.456,0.447,0.338
Kota Serang,0.546,0.549,0.508
Kota Tangerang Selatan,0.303,0.223,0.171
BALI,0.262,0.237,0.305
Jembrana,0.255,0.252,0.365
Tabanan,0.24,0.168,0.236
Badung,0.216,0.149,0.142
Gianyar,0.238,0.306,0.216
Klungkung,0.176,0.157,0.149
Bangli,0.284,0.389,0.362
Karangasem,0.479,0.342,0.401
Buleleng,0.306,0.384,0.405
Kota Denpasar,0.313,0.271,0.348
NUSA TENGGARA BARAT,0.577,0.668,0.665
Lombok Barat,0.572,0.57,0.598
Lombok Tengah,0.61,0.621,0.629
Lombok Timur,0.616,0.614,0.609
Sumbawa,0.576,0.501,0.413
Dompu,0.57,0.595,0.549
Bima,0.534,0.587,0.601
Sumbawa Barat,0.845,0.566,0.564
Lombok Utara,-,0.619,0.569
Kota Mataram,0.492,0.445,0.424
Kota Bima,0.477,0.485,0.458
NUSA TENGGARA TIMUR,0.511,0.481,0.471
Sumba Barat,0.414,0.429,0.406
Sumba Timur,0.535,0.492,0.466
Kupang,0.531,0.531,0.55
Timor Tengah Selatan,0.477,0.523,0.538
Timor Tengah Utara,0.513,0.806,0.797
Belu,0.442,0.453,0.481
Alor,0.564,0.574,0.565
Lembata,0.775,0.693,0.713
Flores Timur,0.754,0.486,0.503
Sikka,0.364,0.335,0.413
Ende,0.437,0.454,0.407
Ngada,0.289,0.372,0.346
Manggarai,0.512,0.461,0.5
Rote Ndao,0.611,0.845,0.836
Manggarai Barat,0.628,0.584,0.577
Sumba Tengah,0.817,0.809,0.807
Sumba Barat Daya,0.829,0.535,0.54
Nagekeo,0.732,0.645,0.738
Manggarai Timur,0.66,0.647,0.648
Sabu Raijua,0.588,0.546,0.5
Malaka,0.487,0.485,0.462
Kota Kupang,0.406,0.44,0.344
KALIMANTAN BARAT,0.582,0.566,0.558
Sambas,0.539,0.535,0.531
Bengkayang,0.572,0.533,0.524
Landak,0.58,0.558,0.532
Mempawah,0.566,0.567,0.57
Sanggau,0.602,0.58,0.581
Ketapang,0.609,0.671,0.674
Sintang,0.611,0.612,0.592
